DEPTH;"Porosity
800";"Porosity
800";Kair 800;"R45 
Calculado";;PHI*Kair;"PHI*Kair
(ordenado)"
2892,66;23,2636679;0,232636679;328;6,419581849;RT2;76,30483072;94,65315834
2670,6;26,9;0,269;415,056;6,430283945;RT2;111,650064;94,85498519
2730,6;23,6;0,236;340,279;6,473504869;RT2;80,305844;100,0232579
2868,66;23,61940256;0,236194026;371;6,817347323;RT2;87,62798349;102,8995223
2983;28,10607352;0,281060735;511;6,991792547;RT2;143,6220357;108,969
2666,7;29,6;0,296;555,333;6,992788456;RT2;164,378568;111,650064
2676,6;26,5;0,265;469;7,027997643;RT2;124,285;112,1818683
2886;23,13440059;0,231344006;379;7,047338021;RT2;87,67937825;123,3132738
2861,33;24,26875526;0,242687553;424;7,201155248;RT2;102,8995223;124,285
2907,66;25,63685525;0,256368553;481;7,370720427;RT2;123,3132738;136,588284
2898,16;24,4938577;0,244938577;458;7,4793612;RT2;112,1818683;143,6220357
2943;23,20725242;0,232072524;431;7,597044514;RT2;100,0232579;155,34108
2815,7;29,86;0,2986;666;7,743456497;RT2;198,8676;159,6065377
2955,3;27,4813948;0,274813948;589,0444;7,791592663;RT2;161,8776171;161,8776171
2672,6;27,5;0,275;604,378;7,90907354;RT2;166,20395;164,378568
2811,2;29,92;0,2992;701;7,972783427;RT2;209,7392;164,8976849
2664,5;31,1;0,311;755,963;8,038586869;RT2;235,104493;166,20395
2668,4;29,6;0,296;703,521;8,074326916;RT2;208,242216;168,649054
2671,3;27,4;0,274;624,806;8,099235521;RT2;171,196844;170,5904536
2820,3;29,09;0,2909;709;8,250998848;RT2;206,2481;171,196844
2678,4;26,6;0,266;634,019;8,410919333;RT2;168,649054;172,139157
2691,5;25,7;0,257;604,44;8,448660943;RT2;155,34108;198,8676
2926,5;26,09140583;0,260914058;632;8,553964392;RT2;164,8976849;206,2481
2871,91;25,74298996;0,2574299;620;8,56628055;RT2;159,6065377;208,242216
2853,7;26,29059258;0,262905926;648,865;8,627883627;RT2;170,5904536;209,7392
2832,5;29,54;0,2954;790;8,681153856;RT2;233,366;214,6025301
2848,8;28,91;0,2891;768;8,714425882;RT2;222,0288;218,28315
2800,7;31,33599542;0,313359954;883,4678;8,772787237;RT2;276,8434294;220,5656594
2681,6;26,1;0,261;659,537;8,775857403;RT2;172,139157;221,49099
2846,42;27,30312087;0,273031209;786;9,344286289;RT2;214,6025301;222,0288
2677,3;27,4;0,274;823,128;9,577124119;RT2;225,537072;223,965096
2679,5;27;0,27;820,337;9,69525;RT2;221,49099;225,537072
2683,2;26,9;0,269;832,584;9,818418515;RT2;223,965096;233,366
2850,83;26,70286433;0,267028643;826;9,841391836;RT2;220,5656594;235,104493
2680,2;26,5;0,265;823,71;9,898042553;RT2;218,28315;276,8434294
2682,6;27;0,27;884,553;10,14985412;RT1;238,82931;196,6632
2957,5;24,89407606;0,248940761;790;10,25556888;RT1;196,6632009;238,8293
